team,season,week,games_played,wins,losses,win_rate,points_for,points_against,margin,points_per_game,points_allowed_per_game,margin_per_game,home_wins,home_losses,away_wins,away_losses,rolling_win_rate,rolling_ppg,rolling_papg,rolling_margin,trend_win_rate,trend_ppg,trend_papg,trend_margin,momentum_win_rate,momentum_ppg,momentum_papg,momentum_margin
Abilene Christian,2024,15,7,4,3,0.5714285714285714,253.0,248.0,5.0,36.142857142857146,35.42857142857143,0.7142857142857143,0,0,4,3,0.6793650793650793,36.047619047619044,32.476190476190474,3.571428571428571,0.17936507936507928,-6.11904761904762,-5.19047619047619,-0.9285714285714288,-0.0331168831168831,-2.240476190476187,2.2922077922077975,-4.532683982683982
Adams State,2022,2,1,0,1,0.0,20.0,34.0,-14.0,20.0,34.0,-14.0,0,0,0,1,0.0,20.0,34.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams State,2022,4,2,0,2,0.0,39.0,68.0,-29.0,19.5,34.0,-14.5,0,0,0,2,0.0,19.75,34.0,-14.25,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5
Adams State,2022,5,1,0,1,0.0,10.0,84.0,-74.0,10.0,84.0,-74.0,0,1,0,0,0.0,16.5,50.666666666666664,-34.166666666666664,0.0,0.0,0.0,0.0,0.0,-9.75,50.0,-59.75
Adams State,2022,6,2,0,2,0.0,31.0,107.0,-76.0,15.5,53.5,-38.0,0,2,0,0,0.0,15.0,57.166666666666664,-42.166666666666664,0.0,0.0,0.0,0.0,0.0,-1.0,2.8333333333333357,-3.8333333333333357
Adams State,2022,7,3,1,2,0.3333333333333333,91.0,85.0,6.0,30.33333333333333,28.33333333333333,2.0,0,0,1,2,0.1111111111111111,18.61111111111111,55.27777777777777,-36.666666666666664,0.0,0.0,0.0,0.0,0.3333333333333333,14.083333333333329,-23.04166666666667,37.125
Adams State,2022,8,3,0,3,0.0,51.0,159.0,-108.0,17.0,53.0,-36.0,0,3,0,0,0.1111111111111111,20.944444444444443,44.944444444444436,-24.0,0.1111111111111111,4.444444444444443,-5.7222222222222285,10.166666666666664,-0.06666666666666667,-2.0666666666666664,6.233333333333334,-8.3
Adams State,2022,9,4,1,3,0.25,118.0,114.0,4.0,29.5,28.5,1.0,0,0,1,3,0.19444444444444442,25.61111111111111,36.61111111111111,-11.0,0.19444444444444442,9.11111111111111,-14.055555555555557,23.166666666666664,0.19444444444444445,10.777777777777779,-19.30555555555555,30.083333333333332
Adams State,2022,10,4,1,3,0.25,96.0,190.0,-94.0,24.0,47.5,-23.5,1,3,0,0,0.16666666666666666,23.5,43.0,-19.5,0.16666666666666666,7.0,-7.666666666666664,14.666666666666664,0.16666666666666669,3.738095238095241,2.452380952380956,1.2857142857142847
Adams State,2022,11,5,1,4,0.2,138.0,137.0,1.0,27.6,27.4,0.2,0,0,1,4,0.2333333333333333,27.03333333333333,34.46666666666667,-7.433333333333334,0.2333333333333333,10.533333333333331,-16.199999999999996,26.73333333333333,0.09583333333333335,6.870833333333337,-17.954166666666666,24.825
Adams State,2023,3,1,0,1,0.0,7.0,28.0,-21.0,7.0,28.0,-21.0,0,0,0,1,0.0,7.0,28.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams State,2023,4,1,1,0,1.0,35.0,16.0,19.0,35.0,16.0,19.0,1,0,0,0,0.5,21.0,22.0,-1.0,0.0,0.0,0.0,0.0,1.0,28.0,-12.0,40.0
Adams State,2023,5,2,0,2,0.0,14.0,98.0,-84.0,7.0,49.0,-42.0,0,0,0,2,0.3333333333333333,16.333333333333332,31.0,-14.666666666666666,0.0,0.0,0.0,0.0,-0.5,-14.0,27.0,-41.0
Adams State,2023,6,3,1,2,0.3333333333333333,35.0,112.0,-77.0,11.666666666666666,37.333333333333336,-25.666666666666668,0,0,1,2,0.4444444444444444,17.88888888888889,34.111111111111114,-16.222222222222225,0.0,0.0,0.0,0.0,0.0,-4.666666666666666,6.333333333333336,-11.000000000000002
Adams State,2023,7,2,2,0,1.0,60.0,40.0,20.0,30.0,20.0,10.0,2,0,0,0,0.4444444444444444,16.22222222222222,35.44444444444445,-19.222222222222225,0.0,0.0,0.0,0.0,0.6666666666666667,14.833333333333334,-12.583333333333336,27.416666666666668
Adams State,2023,8,4,1,3,0.25,45.0,155.0,-110.0,11.25,38.75,-27.5,0,0,1,3,0.5277777777777778,17.63888888888889,32.02777777777778,-14.388888888888891,0.19444444444444448,1.3055555555555571,1.0277777777777786,0.277777777777775,-0.21666666666666662,-6.883333333333333,8.68333333333333,-15.566666666666666
Adams State,2023,9,3,2,1,0.6666666666666666,74.0,93.0,-19.0,24.666666666666668,31.0,-6.333333333333333,2,1,0,0,0.6388888888888888,21.972222222222225,29.916666666666668,-7.944444444444444,0.3055555555555555,5.638888888888893,-1.0833333333333321,6.722222222222222,0.2361111111111111,7.680555555555557,-0.5138888888888893,8.194444444444446
Adams State,2023,10,5,1,4,0.2,52.0,197.0,-145.0,10.4,39.4,-29.0,0,0,1,4,0.37222222222222223,15.43888888888889,36.38333333333333,-20.944444444444446,0.03888888888888892,-0.8944444444444422,5.383333333333333,-6.27777777777778,-0.26428571428571423,-7.683333333333332,7.959523809523805,-15.642857142857142
Adams State,2023,11,4,2,2,0.5,83.0,156.0,-73.0,20.75,39.0,-18.25,2,2,0,0,0.45555555555555555,18.605555555555558,36.46666666666667,-17.86111111111111,0.12222222222222223,2.2722222222222257,5.466666666666669,-3.1944444444444446,0.06874999999999998,3.627083333333335,6.564583333333331,-2.9375
Adams State,2024,4,1,0,1,0.0,14.0,67.0,-53.0,14.0,67.0,-53.0,0,0,0,1,0.0,14.0,67.0,-53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams State,2024,5,1,0,1,0.0,30.0,39.0,-9.0,30.0,39.0,-9.0,0,1,0,0,0.0,22.0,53.0,-31.0,0.0,0.0,0.0,0.0,0.0,16.0,-28.0,44.0
Adams State,2024,6,2,0,2,0.0,14.0,105.0,-91.0,7.0,52.5,-45.5,0,0,0,2,0.0,17.0,52.833333333333336,-35.833333333333336,0.0,0.0,0.0,0.0,0.0,-15.0,-0.5,-14.5
Adams State,2024,7,2,0,2,0.0,40.0,105.0,-65.0,20.0,52.5,-32.5,0,2,0,0,0.0,19.0,48.0,-29.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.3333333333333357,3.3333333333333357
Adams State,2024,8,3,0,3,0.0,50.0,157.0,-107.0,16.666666666666668,52.333333333333336,-35.666666666666664,0,3,0,0,0.0,14.555555555555557,52.44444444444445,-37.888888888888886,0.0,0.0,0.0,0.0,0.0,-1.0833333333333321,-0.4166666666666643,-0.6666666666666643
Adams State,2024,9,3,0,3,0.0,17.0,157.0,-140.0,5.666666666666667,52.333333333333336,-46.66666666666666,0,0,0,3,0.0,14.111111111111112,52.38888888888889,-38.27777777777777,0.0,-2.8888888888888875,-0.44444444444444287,-2.4444444444444358,0.0,-11.866666666666667,-0.3333333333333286,-11.533333333333324
Adams State,2024,10,4,0,4,0.0,64.0,213.0,-149.0,16.0,53.25,-37.25,0,4,0,0,0.0,12.777777777777779,52.63888888888889,-39.86111111111111,0.0,-4.222222222222221,-0.19444444444444287,-4.0277777777777715,0.0,0.44444444444444287,0.6388888888888928,-0.19444444444444997
Adams State,2024,11,4,0,4,0.0,44.0,201.0,-157.0,11.0,50.25,-39.25,0,0,0,4,0.0,10.888888888888891,51.94444444444445,-41.05555555555555,0.0,-6.111111111111109,-0.8888888888888857,-5.222222222222214,0.0,-4.61904761904762,-2.452380952380949,-2.1666666666666714
Adams State,2024,12,5,0,5,0.0,81.0,240.0,-159.0,16.2,48.0,-31.8,0,5,0,0,0.0,14.4,50.5,-36.1,0.0,-2.5999999999999996,-2.3333333333333357,-0.2666666666666657,0.0,1.1583333333333314,-4.395833333333336,5.554166666666664
Adrian,2022,3,1,0,1,0.0,0.0,31.0,-31.0,0.0,31.0,-31.0,0,0,0,1,0.0,0.0,31.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian,2022,4,1,1,0,1.0,33.0,0.0,33.0,33.0,0.0,33.0,1,0,0,0,0.5,16.5,15.5,1.0,0.0,0.0,0.0,0.0,1.0,33.0,-31.0,64.0
Adrian,2022,5,2,1,1,0.5,58.0,54.0,4.0,29.0,27.0,2.0,0,0,1,1,0.5,20.666666666666668,19.333333333333332,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,12.5,11.5,1.0
Adrian,2022,6,2,2,0,1.0,106.0,13.0,93.0,53.0,6.5,46.5,2,0,0,0,0.8333333333333334,38.333333333333336,11.166666666666666,27.166666666666668,0.0,0.0,0.0,0.0,0.5,32.33333333333333,-12.833333333333332,45.166666666666664
Adrian,2022,7,3,2,1,0.6666666666666666,127.0,40.0,87.0,42.333333333333336,13.333333333333334,29.0,2,1,0,0,0.7222222222222222,41.44444444444445,15.611111111111112,25.833333333333332,0.0,0.0,0.0,0.0,0.04166666666666663,13.583333333333336,-2.791666666666666,16.375
Adrian,2022,9,3,2,1,0.6666666666666666,80.0,64.0,16.0,26.666666666666668,21.33333333333333,5.333333333333333,0,0,2,1,0.7777777777777777,40.66666666666667,13.722222222222221,26.944444444444443,0.2777777777777777,20.000000000000004,-5.611111111111111,25.61111111111111,0.033333333333333326,-4.800000000000001,5.766666666666662,-10.566666666666666
Adrian,2022,10,4,2,2,0.5,89.0,101.0,-12.0,22.25,25.25,-3.0,0,0,2,2,0.611111111111111,30.416666666666668,19.97222222222222,10.444444444444445,0.11111111111111105,9.75,0.6388888888888893,9.11111111111111,-0.13888888888888884,-8.416666666666668,8.722222222222225,-17.138888888888886
Adrian,2022,11,4,3,1,0.75,169.0,57.0,112.0,42.25,14.25,28.0,3,1,0,0,0.6388888888888888,30.38888888888889,20.277777777777775,10.11111111111111,0.13888888888888884,9.722222222222221,0.9444444444444429,8.777777777777777,0.13095238095238104,12.785714285714285,-3.523809523809522,16.30952380952381
Adrian,2023,3,1,0,1,0.0,17.0,34.0,-17.0,17.0,34.0,-17.0,0,1,0,0,0.0,17.0,34.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian,2023,4,1,0,1,0.0,3.0,14.0,-11.0,3.0,14.0,-11.0,0,0,0,1,0.0,10.0,24.0,-14.0,0.0,0.0,0.0,0.0,0.0,-14.0,-20.0,6.0
Adrian,2023,5,2,1,1,0.5,40.0,49.0,-9.0,20.0,24.5,-4.5,1,1,0,0,0.16666666666666666,13.333333333333334,24.166666666666668,-10.833333333333334,0.0,0.0,0.0,0.0,0.5,10.0,0.5,9.5
Adrian,2023,6,2,0,2,0.0,38.0,52.0,-14.0,19.0,26.0,-7.0,0,0,0,2,0.16666666666666666,14.0,21.5,-7.5,0.0,0.0,0.0,0.0,-0.16666666666666666,5.666666666666666,1.8333333333333321,3.833333333333334
Adrian,2023,7,3,0,3,0.0,52.0,86.0,-34.0,17.333333333333332,28.666666666666668,-11.333333333333334,0,0,0,3,0.16666666666666666,18.777777777777775,26.38888888888889,-7.611111111111112,0.0,0.0,0.0,0.0,-0.125,2.583333333333332,4.041666666666668,-1.458333333333334
Adrian,2023,9,3,1,2,0.3333333333333333,61.0,79.0,-18.0,20.33333333333333,26.33333333333333,-6.0,1,2,0,0,0.1111111111111111,18.888888888888886,27.0,-8.111111111111112,-0.05555555555555555,5.555555555555552,2.833333333333332,2.7222222222222214,0.2333333333333333,5.066666666666663,0.899999999999995,4.166666666666668
Adrian,2023,10,4,1,3,0.25,82.0,113.0,-31.0,20.5,28.25,-7.75,1,3,0,0,0.19444444444444442,19.388888888888886,27.75,-8.361111111111112,0.027777777777777762,6.055555555555552,3.583333333333332,2.4722222222222214,0.11111111111111113,4.388888888888889,2.666666666666668,1.7222222222222232
Adrian,2023,11,4,0,4,0.0,75.0,131.0,-56.0,18.75,32.75,-14.0,0,0,0,4,0.19444444444444442,19.86111111111111,29.11111111111111,-9.25,0.027777777777777762,6.527777777777777,4.944444444444443,1.583333333333334,-0.15476190476190474,2.0119047619047628,6.785714285714285,-4.773809523809522
Adrian,2024,3,1,1,0,1.0,55.0,20.0,35.0,55.0,20.0,35.0,1,0,0,0,1.0,55.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian,2024,5,2,2,0,1.0,93.0,40.0,53.0,46.5,20.0,26.5,2,0,0,0,1.0,50.75,20.0,30.75,0.0,0.0,0.0,0.0,0.0,-8.5,0.0,-8.5
Adrian,2024,6,2,2,0,1.0,94.0,28.0,66.0,47.0,14.0,33.0,0,0,2,0,1.0,49.5,18.0,31.5,0.0,0.0,0.0,0.0,0.0,-3.75,-6.0,2.25
Adrian,2024,8,3,3,0,1.0,117.0,54.0,63.0,39.0,18.0,21.0,3,0,0,0,1.0,44.166666666666664,17.333333333333332,26.833333333333332,0.0,0.0,0.0,0.0,0.0,-10.5,0.0,-10.5
Adrian,2024,9,3,2,1,0.6666666666666666,121.0,66.0,55.0,40.333333333333336,22.0,18.33333333333333,0,0,2,1,0.8888888888888888,42.111111111111114,18.0,24.11111111111111,0.0,0.0,0.0,0.0,-0.33333333333333337,-6.541666666666664,4.0,-10.541666666666671
Adrian,2024,10,4,4,0,1.0,147.0,64.0,83.0,36.75,16.0,20.75,4,0,0,0,0.8888888888888888,38.69444444444445,18.666666666666668,20.027777777777775,-0.11111111111111116,-10.80555555555555,0.6666666666666679,-11.472222222222225,0.06666666666666665,-8.81666666666667,-2.8000000000000007,-6.016666666666662
Adrian,2024,11,4,2,2,0.5,121.0,111.0,10.0,30.25,27.75,2.5,0,0,2,2,0.7222222222222222,35.77777777777778,21.916666666666668,13.861111111111109,-0.2777777777777778,-13.722222222222221,3.916666666666668,-17.638888888888893,-0.44444444444444453,-13.847222222222229,9.416666666666668,-23.263888888888886
Adrian,2024,12,5,5,0,1.0,182.0,85.0,97.0,36.4,17.0,19.4,5,0,0,0,0.8333333333333334,34.46666666666667,20.25,14.216666666666667,-0.16666666666666663,-15.033333333333331,2.25,-17.28333333333333,0.11904761904761896,-5.719047619047629,-2.678571428571427,-3.0404761904761877
Air Force,2022,2,2,2,0,1.0,78.0,32.0,46.0,39.0,16.0,23.0,2,0,0,0,1.0,39.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Force,2022,4,3,3,0,1.0,119.0,42.0,77.0,39.66666666666666,14.0,25.666666666666668,3,0,0,0,1.0,39.33333333333333,15.0,24.333333333333336,0.0,0.0,0.0,0.0,0.0,0.6666666666666572,-2.0,2.666666666666668
Air Force,2022,5,4,4,0,1.0,167.0,62.0,105.0,41.75,15.5,26.25,4,0,0,0,1.0,40.138888888888886,15.166666666666666,24.972222222222225,0.0,0.0,0.0,0.0,0.0,2.4166666666666714,0.5,1.9166666666666643
Air Force,2022,6,1,0,1,0.0,14.0,17.0,-3.0,14.0,17.0,-3.0,0,0,0,1,0.6666666666666666,31.805555555555554,15.5,16.305555555555557,0.0,0.0,0.0,0.0,-1.0,-26.138888888888886,1.833333333333334,-27.972222222222225
Air Force,2022,7,2,0,2,0.0,41.0,51.0,-10.0,20.5,25.5,-5.0,0,0,0,2,0.3333333333333333,25.416666666666668,19.333333333333332,6.083333333333333,0.0,0.0,0.0,0.0,-0.75,-13.104166666666664,9.875,-22.979166666666668
Air Force,2022,8,5,5,0,1.0,180.0,72.0,108.0,36.0,14.4,21.6,5,0,0,0,0.3333333333333333,23.5,18.966666666666665,4.533333333333334,-0.6666666666666667,-16.638888888888886,3.799999999999999,-20.43888888888889,0.4,5.016666666666669,-3.200000000000001,8.216666666666667
Air Force,2022,10,3,1,2,0.3333333333333333,83.0,58.0,25.0,27.666666666666668,19.33333333333333,8.333333333333334,0,0,1,2,0.4444444444444444,28.055555555555557,19.744444444444444,8.311111111111112,-0.5555555555555556,-12.083333333333329,4.5777777777777775,-16.66111111111111,-0.3333333333333333,-4.152777777777775,2.266666666666662,-6.419444444444446
Air Force,2022,11,6,5,1,0.8333333333333334,194.0,91.0,103.0,32.333333333333336,15.166666666666666,17.166666666666668,5,1,0,0,0.7222222222222222,32.0,16.299999999999997,15.700000000000003,-0.2777777777777778,-8.138888888888886,1.133333333333331,-9.272222222222222,0.2142857142857144,1.1071428571428612,-2.223809523809523,3.3309523809523807
Air Force,2022,12,7,6,1,0.8571428571428571,229.0,94.0,135.0,32.714285714285715,13.428571428571429,19.285714285714285,6,1,0,0,0.6746031746031745,30.90476190476191,15.976190476190474,14.928571428571429,-0.32539682539682546,-9.234126984126977,0.8095238095238084,-10.043650793650796,0.21130952380952372,1.3497023809523832,-3.6839285714285683,5.03363095238095
Air Force,2022,13,4,2,2,0.5,96.0,65.0,31.0,24.0,16.25,7.75,0,0,2,2,0.7301587301587302,29.682539682539684,14.948412698412698,14.734126984126982,-0.26984126984126977,-10.456349206349202,-0.21825396825396837,-10.238095238095243,-0.1693121693121693,-7.514550264550262,-0.4531746031745989,-7.061375661375662
Air Force,2023,3,2,2,0,1.0,73.0,28.0,45.0,36.5,14.0,22.5,2,0,0,0,1.0,36.5,14.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Force,2023,4,1,1,0,1.0,13.0,3.0,10.0,13.0,3.0,10.0,0,0,1,0,1.0,24.75,8.5,16.25,0.0,0.0,0.0,0.0,0.0,-23.5,-11.0,-12.5
Air Force,2023,5,3,3,0,1.0,112.0,49.0,63.0,37.333333333333336,16.333333333333332,21.0,3,0,0,0,1.0,28.944444444444446,11.111111111111109,17.833333333333332,0.0,0.0,0.0,0.0,0.0,12.583333333333336,7.833333333333332,4.75
Air Force,2023,7,4,4,0,1.0,161.0,59.0,102.0,40.25,14.75,25.5,4,0,0,0,1.0,30.194444444444446,11.361111111111109,18.833333333333332,0.0,0.0,0.0,0.0,0.0,11.305555555555554,3.638888888888891,7.666666666666668
Air Force,2023,8,2,2,0,1.0,58.0,23.0,35.0,29.0,11.5,17.5,0,0,2,0,1.0,35.52777777777778,14.194444444444443,21.333333333333332,0.0,0.0,0.0,0.0,0.0,-2.7708333333333357,-0.5208333333333321,-2.25
Air Force,2023,9,3,3,0,1.0,75.0,29.0,46.0,25.0,9.666666666666666,15.333333333333334,0,0,3,0,1.0,31.416666666666668,11.972222222222221,19.444444444444446,0.0,2.4722222222222214,0.8611111111111125,1.6111111111111143,0.0,-6.216666666666669,-2.25,-3.966666666666667
Air Force,2023,10,5,5,0,1.0,195.0,86.0,109.0,39.0,17.2,21.8,5,0,0,0,1.0,31.0,12.788888888888886,18.211111111111112,0.0,2.0555555555555536,1.6777777777777771,0.37777777777778,0.0,8.819444444444443,5.658333333333333,3.1611111111111114
Air Force,2023,11,4,4,0,1.0,105.0,42.0,63.0,26.25,10.5,15.75,0,0,4,0,1.0,30.083333333333332,12.455555555555556,17.627777777777776,0.0,1.1388888888888857,1.3444444444444468,-0.2055555555555557,0.0,-5.190476190476193,-1.8499999999999996,-3.3404761904761884
Air Force,2023,12,6,5,1,0.8333333333333334,198.0,109.0,89.0,33.0,18.166666666666668,14.833333333333334,5,1,0,0,0.9444444444444445,32.75,15.28888888888889,17.461111111111112,-0.05555555555555547,3.8055555555555536,4.177777777777781,-0.37222222222222,-0.16666666666666663,2.208333333333332,6.047916666666669,-3.839583333333332
